Canadian CMA,Country,Continent,Gender,Population,Latitude,Longitude
Abbotsford,Mexico,North America,Women+,45,49.049999,-122.316666
Abbotsford,Jamaica,North America,Women+,20,49.049999,-122.316666
Abbotsford,Brazil,South America,Women+,15,49.049999,-122.316666
Abbotsford,Chile,South America,Women+,10,49.049999,-122.316666
Abbotsford,Ecuador,South America,Women+,10,49.049999,-122.316666
Abbotsford,Paraguay,South America,Women+,10,49.049999,-122.316666
Abbotsford,Peru,South America,Women+,10,49.049999,-122.316666
Abbotsford,Germany,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Belarus,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Czechia,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Lithuania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Romania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Russian Federation,Europe,Women+,40,49.049999,-122.316666
Abbotsford,Ukraine,Europe,Women+,20,49.049999,-122.316666
Abbotsford,Iceland,Europe,Women+,10,49.049999,-122.316666
Abbotsford,United Kingdom,Europe,Women+,45,49.049999,-122.316666
Abbotsford,Albania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Italy,Europe,Women+,30,49.049999,-122.316666
Abbotsford,Ghana,Africa,Women+,10,49.049999,-122.316666
Abbotsford,Nigeria,Africa,Women+,30,49.049999,-122.316666
Abbotsford,Ethiopia,Africa,Women+,10,49.049999,-122.316666
Abbotsford,Kenya,Africa,Women+,15,49.049999,-122.316666
Abbotsford,South Sudan,Africa,Women+,40,49.049999,-122.316666
Abbotsford,Uganda,Africa,Women+,10,49.049999,-122.316666
Abbotsford,Egypt,Africa,Women+,20,49.049999,-122.316666
Abbotsford,"Congo, Democratic Republic of the",Africa,Women+,15,49.049999,-122.316666
Abbotsford,"South Africa, Republic of",Africa,Women+,50,49.049999,-122.316666
Abbotsford,Afghanistan,Asia,Women+,20,49.049999,-122.316666
Abbotsford,Azerbaijan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Iran,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Iraq,Asia,Women+,15,49.049999,-122.316666
Abbotsford,Jordan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Kuwait,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Syria,Asia,Women+,145,49.049999,-122.316666
Abbotsford,Turkey,Asia,Women+,15,49.049999,-122.316666
Abbotsford,United Arab Emirates,Asia,Women+,10,49.049999,-122.316666
Abbotsford,China,Asia,Women+,65,49.049999,-122.316666
Abbotsford,Japan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,"Korea, South",Asia,Women+,80,49.049999,-122.316666
Abbotsford,Taiwan,Asia,Women+,20,49.049999,-122.316666
Abbotsford,Indonesia,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Malaysia,Asia,Women+,15,49.049999,-122.316666
Abbotsford,Philippines,Asia,Women+,200,49.049999,-122.316666
Abbotsford,Thailand,Asia,Women+,15,49.049999,-122.316666
Abbotsford,Viet Nam,Asia,Women+,45,49.049999,-122.316666
Abbotsford,India,Asia,Women+,2045,49.049999,-122.316666
Abbotsford,Pakistan,Asia,Women+,75,49.049999,-122.316666
Abbotsford,Sri Lanka,Asia,Women+,10,49.049999,-122.316666
Abbotsford,United States of America,North America,Men+,110,49.049999,-122.316666
Abbotsford,Mexico,North America,Men+,10,49.049999,-122.316666
Abbotsford,Antigua and Barbuda,North America,Men+,10,49.049999,-122.316666
Abbotsford,Jamaica,North America,Men+,20,49.049999,-122.316666
Abbotsford,Brazil,South America,Men+,10,49.049999,-122.316666
Abbotsford,Chile,South America,Men+,10,49.049999,-122.316666
Abbotsford,Ecuador,South America,Men+,10,49.049999,-122.316666
Abbotsford,Peru,South America,Men+,10,49.049999,-122.316666
Abbotsford,Germany,Europe,Men+,20,49.049999,-122.316666
Abbotsford,Russian Federation,Europe,Men+,20,49.049999,-122.316666
Abbotsford,Ukraine,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Iceland,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Ireland,Europe,Men+,15,49.049999,-122.316666
Abbotsford,United Kingdom,Europe,Men+,50,49.049999,-122.316666
Abbotsford,Croatia,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Italy,Europe,Men+,25,49.049999,-122.316666
Abbotsford,Nigeria,Africa,Men+,30,49.049999,-122.316666
Abbotsford,Eritrea,Africa,Men+,20,49.049999,-122.316666
Abbotsford,Ethiopia,Africa,Men+,15,49.049999,-122.316666
Abbotsford,Kenya,Africa,Men+,10,49.049999,-122.316666
Abbotsford,Mauritius,Africa,Men+,15,49.049999,-122.316666
Abbotsford,South Sudan,Africa,Men+,30,49.049999,-122.316666
Abbotsford,Egypt,Africa,Men+,20,49.049999,-122.316666
Abbotsford,"Congo, Democratic Republic of the",Africa,Men+,45,49.049999,-122.316666
Abbotsford,"South Africa, Republic of",Africa,Men+,15,49.049999,-122.316666
Abbotsford,Afghanistan,Asia,Men+,15,49.049999,-122.316666
Abbotsford,Azerbaijan,Asia,Men+,20,49.049999,-122.316666
Abbotsford,Iraq,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Kuwait,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Syria,Asia,Men+,100,49.049999,-122.316666
Abbotsford,Turkey,Asia,Men+,20,49.049999,-122.316666
Abbotsford,United Arab Emirates,Asia,Men+,10,49.049999,-122.316666
Abbotsford,China,Asia,Men+,40,49.049999,-122.316666
Abbotsford,"Korea, South",Asia,Men+,55,49.049999,-122.316666
Abbotsford,Indonesia,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Philippines,Asia,Men+,205,49.049999,-122.316666
Abbotsford,Viet Nam,Asia,Men+,30,49.049999,-122.316666
Abbotsford,India,Asia,Men+,1810,49.049999,-122.316666
Abbotsford,Pakistan,Asia,Men+,60,49.049999,-122.316666
Abbotsford,United States of America,North America,Women+,55,49.049999,-122.316666
Abbotsford,Mexico,North America,Women+,45,49.049999,-122.316666
Abbotsford,Jamaica,North America,Women+,20,49.049999,-122.316666
Abbotsford,Brazil,South America,Women+,15,49.049999,-122.316666
Abbotsford,Chile,South America,Women+,10,49.049999,-122.316666
Abbotsford,Ecuador,South America,Women+,10,49.049999,-122.316666
Abbotsford,Peru,South America,Women+,10,49.049999,-122.316666
Abbotsford,Germany,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Belarus,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Lithuania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Romania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Russian Federation,Europe,Women+,30,49.049999,-122.316666
Abbotsford,Ukraine,Europe,Women+,20,49.049999,-122.316666
Abbotsford,Iceland,Europe,Women+,10,49.049999,-122.316666
Abbotsford,United Kingdom,Europe,Women+,45,49.049999,-122.316666
Abbotsford,Albania,Europe,Women+,10,49.049999,-122.316666
Abbotsford,Italy,Europe,Women+,30,49.049999,-122.316666
Abbotsford,Ghana,Africa,Women+,10,49.049999,-122.316666
Abbotsford,Nigeria,Africa,Women+,30,49.049999,-122.316666
Abbotsford,Kenya,Africa,Women+,10,49.049999,-122.316666
Abbotsford,South Sudan,Africa,Women+,40,49.049999,-122.316666
Abbotsford,Uganda,Africa,Women+,10,49.049999,-122.316666
Abbotsford,Egypt,Africa,Women+,20,49.049999,-122.316666
Abbotsford,"South Africa, Republic of",Africa,Women+,40,49.049999,-122.316666
Abbotsford,Afghanistan,Asia,Women+,20,49.049999,-122.316666
Abbotsford,Azerbaijan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Iran,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Iraq,Asia,Women+,15,49.049999,-122.316666
Abbotsford,Kuwait,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Syria,Asia,Women+,95,49.049999,-122.316666
Abbotsford,Turkey,Asia,Women+,15,49.049999,-122.316666
Abbotsford,United Arab Emirates,Asia,Women+,10,49.049999,-122.316666
Abbotsford,China,Asia,Women+,65,49.049999,-122.316666
Abbotsford,Japan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,"Korea, South",Asia,Women+,80,49.049999,-122.316666
Abbotsford,Taiwan,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Indonesia,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Malaysia,Asia,Women+,10,49.049999,-122.316666
Abbotsford,Philippines,Asia,Women+,195,49.049999,-122.316666
Abbotsford,Thailand,Asia,Women+,15,49.049999,-122.316666
Abbotsford,Viet Nam,Asia,Women+,35,49.049999,-122.316666
Abbotsford,India,Asia,Women+,1980,49.049999,-122.316666
Abbotsford,Pakistan,Asia,Women+,70,49.049999,-122.316666
Abbotsford,Sri Lanka,Asia,Women+,10,49.049999,-122.316666
Barrie,United States of America,North America,Men+,70,44.389355,-79.690331
Barrie,Mexico,North America,Men+,20,44.389355,-79.690331
Barrie,Nicaragua,North America,Men+,10,44.389355,-79.690331
Barrie,Cuba,North America,Men+,15,44.389355,-79.690331
Barrie,Jamaica,North America,Men+,40,44.389355,-79.690331
Barrie,Brazil,South America,Men+,45,44.389355,-79.690331
Barrie,Colombia,South America,Men+,20,44.389355,-79.690331
Barrie,Venezuela,South America,Men+,10,44.389355,-79.690331
Barrie,Hungary,Europe,Men+,15,44.389355,-79.690331
Barrie,Moldova,Europe,Men+,10,44.389355,-79.690331
Barrie,Poland,Europe,Men+,10,44.389355,-79.690331
Barrie,Russian Federation,Europe,Men+,70,44.389355,-79.690331
Barrie,Ukraine,Europe,Men+,70,44.389355,-79.690331
Barrie,Ireland,Europe,Men+,10,44.389355,-79.690331
Barrie,Jersey,Europe,Men+,10,44.389355,-79.690331
Barrie,United Kingdom,Europe,Men+,65,44.389355,-79.690331
Barrie,Albania,Europe,Men+,10,44.389355,-79.690331
Barrie,Bosnia and Herzegovina,Europe,Men+,10,44.389355,-79.690331
Barrie,Greece,Europe,Men+,10,44.389355,-79.690331
Barrie,Italy,Europe,Men+,20,44.389355,-79.690331
Barrie,Portugal,Europe,Men+,20,44.389355,-79.690331
Barrie,Serbia,Europe,Men+,10,44.389355,-79.690331
Barrie,Spain,Europe,Men+,10,44.389355,-79.690331
Barrie,Ghana,Africa,Men+,15,44.389355,-79.690331
Barrie,Nigeria,Africa,Men+,145,44.389355,-79.690331
Barrie,Mauritius,Africa,Men+,15,44.389355,-79.690331
Barrie,Zimbabwe,Africa,Men+,15,44.389355,-79.690331
Barrie,Egypt,Africa,Men+,15,44.389355,-79.690331
Barrie,Cameroon,Africa,Men+,10,44.389355,-79.690331
Barrie,"South Africa, Republic of",Africa,Men+,10,44.389355,-79.690331
Barrie,Iran,Asia,Men+,40,44.389355,-79.690331
Barrie,Iraq,Asia,Men+,10,44.389355,-79.690331
Barrie,Israel,Asia,Men+,35,44.389355,-79.690331
Barrie,Jordan,Asia,Men+,25,44.389355,-79.690331
Barrie,Lebanon,Asia,Men+,15,44.389355,-79.690331
Barrie,Syria,Asia,Men+,45,44.389355,-79.690331
Barrie,Turkey,Asia,Men+,55,44.389355,-79.690331
Barrie,United Arab Emirates,Asia,Men+,40,44.389355,-79.690331
Barrie,West Bank and Gaza Strip,Asia,Men+,10,44.389355,-79.690331
Barrie,China,Asia,Men+,50,44.389355,-79.690331
Barrie,"Korea, South",Asia,Men+,20,44.389355,-79.690331
Barrie,Indonesia,Asia,Men+,10,44.389355,-79.690331
Barrie,Philippines,Asia,Men+,125,44.389355,-79.690331
Barrie,India,Asia,Men+,500,44.389355,-79.690331
Barrie,Pakistan,Asia,Men+,115,44.389355,-79.690331
Barrie,Sri Lanka,Asia,Men+,20,44.389355,-79.690331
Barrie,United States of America,North America,Women+,85,44.389355,-79.690331
Barrie,El Salvador,North America,Women+,10,44.389355,-79.690331
Barrie,Mexico,North America,Women+,30,44.389355,-79.690331
Barrie,Cuba,North America,Women+,20,44.389355,-79.690331
Barrie,Grenada,North America,Women+,15,44.389355,-79.690331
Barrie,Jamaica,North America,Women+,25,44.389355,-79.690331
Barrie,Saint Lucia,North America,Women+,10,44.389355,-79.690331
Barrie,Brazil,South America,Women+,50,44.389355,-79.690331
Barrie,Colombia,South America,Women+,25,44.389355,-79.690331
Barrie,Venezuela,South America,Women+,15,44.389355,-79.690331
Barrie,France,Europe,Women+,10,44.389355,-79.690331
Barrie,Germany,Europe,Women+,10,44.389355,-79.690331
Barrie,Hungary,Europe,Women+,15,44.389355,-79.690331
Barrie,Moldova,Europe,Women+,10,44.389355,-79.690331
Barrie,Poland,Europe,Women+,10,44.389355,-79.690331
Barrie,Russian Federation,Europe,Women+,85,44.389355,-79.690331
Barrie,Ukraine,Europe,Women+,90,44.389355,-79.690331
Barrie,United Kingdom,Europe,Women+,40,44.389355,-79.690331
Barrie,Bosnia and Herzegovina,Europe,Women+,10,44.389355,-79.690331
Barrie,Portugal,Europe,Women+,15,44.389355,-79.690331
Barrie,Ghana,Africa,Women+,10,44.389355,-79.690331
Barrie,Nigeria,Africa,Women+,120,44.389355,-79.690331
Barrie,Eritrea,Africa,Women+,15,44.389355,-79.690331
Barrie,Mauritius,Africa,Women+,10,44.389355,-79.690331
Barrie,Zimbabwe,Africa,Women+,15,44.389355,-79.690331
Barrie,Egypt,Africa,Women+,10,44.389355,-79.690331
Barrie,Sudan,Africa,Women+,10,44.389355,-79.690331
Barrie,Cameroon,Africa,Women+,10,44.389355,-79.690331
Barrie,"South Africa, Republic of",Africa,Women+,15,44.389355,-79.690331
Barrie,Afghanistan,Asia,Women+,10,44.389355,-79.690331
Barrie,Iran,Asia,Women+,35,44.389355,-79.690331
Barrie,Iraq,Asia,Women+,25,44.389355,-79.690331
Barrie,Israel,Asia,Women+,20,44.389355,-79.690331
Barrie,Jordan,Asia,Women+,10,44.389355,-79.690331
Barrie,Lebanon,Asia,Women+,10,44.389355,-79.690331
Barrie,Syria,Asia,Women+,55,44.389355,-79.690331
Barrie,Turkey,Asia,Women+,40,44.389355,-79.690331
Barrie,United Arab Emirates,Asia,Women+,10,44.389355,-79.690331
Barrie,Uzbekistan,Asia,Women+,10,44.389355,-79.690331
Barrie,West Bank and Gaza Strip,Asia,Women+,10,44.389355,-79.690331
Barrie,China,Asia,Women+,95,44.389355,-79.690331
Barrie,"Korea, South",Asia,Women+,40,44.389355,-79.690331
Barrie,Taiwan,Asia,Women+,10,44.389355,-79.690331
Barrie,Cambodia,Asia,Women+,10,44.389355,-79.690331
Barrie,Indonesia,Asia,Women+,10,44.389355,-79.690331
Barrie,Philippines,Asia,Women+,190,44.389355,-79.690331
Barrie,Viet Nam,Asia,Women+,30,44.389355,-79.690331
Barrie,India,Asia,Women+,435,44.389355,-79.690331
Barrie,Pakistan,Asia,Women+,115,44.389355,-79.690331
Barrie,Sri Lanka,Asia,Women+,10,44.389355,-79.690331
Barrie,United States of America,North America,Men+,65,44.389355,-79.690331
Barrie,Mexico,North America,Men+,20,44.389355,-79.690331
Barrie,Nicaragua,North America,Men+,10,44.389355,-79.690331
Barrie,Cuba,North America,Men+,15,44.389355,-79.690331
Barrie,Jamaica,North America,Men+,40,44.389355,-79.690331
Barrie,Brazil,South America,Men+,45,44.389355,-79.690331
Barrie,Colombia,South America,Men+,20,44.389355,-79.690331
Barrie,Hungary,Europe,Men+,15,44.389355,-79.690331
Barrie,Moldova,Europe,Men+,10,44.389355,-79.690331
Barrie,Poland,Europe,Men+,10,44.389355,-79.690331
Barrie,Russian Federation,Europe,Men+,70,44.389355,-79.690331
Barrie,Ukraine,Europe,Men+,60,44.389355,-79.690331
Barrie,Ireland,Europe,Men+,10,44.389355,-79.690331
Barrie,Jersey,Europe,Men+,10,44.389355,-79.690331
Barrie,United Kingdom,Europe,Men+,65,44.389355,-79.690331
Barrie,Bosnia and Herzegovina,Europe,Men+,10,44.389355,-79.690331
Barrie,Greece,Europe,Men+,10,44.389355,-79.690331
Barrie,Italy,Europe,Men+,20,44.389355,-79.690331
Barrie,Portugal,Europe,Men+,10,44.389355,-79.690331
Barrie,Serbia,Europe,Men+,10,44.389355,-79.690331
Barrie,Spain,Europe,Men+,10,44.389355,-79.690331
Barrie,Ghana,Africa,Men+,10,44.389355,-79.690331
Barrie,Nigeria,Africa,Men+,130,44.389355,-79.690331
Barrie,Mauritius,Africa,Men+,15,44.389355,-79.690331
Barrie,Zimbabwe,Africa,Men+,15,44.389355,-79.690331
Barrie,Egypt,Africa,Men+,15,44.389355,-79.690331
Barrie,Cameroon,Africa,Men+,10,44.389355,-79.690331
Barrie,"South Africa, Republic of",Africa,Men+,10,44.389355,-79.690331
Barrie,Iran,Asia,Men+,40,44.389355,-79.690331
Barrie,Iraq,Asia,Men+,10,44.389355,-79.690331
Barrie,Israel,Asia,Men+,35,44.389355,-79.690331
Barrie,Jordan,Asia,Men+,15,44.389355,-79.690331
Barrie,Lebanon,Asia,Men+,10,44.389355,-79.690331
Barrie,Syria,Asia,Men+,25,44.389355,-79.690331
Barrie,Turkey,Asia,Men+,55,44.389355,-79.690331
Barrie,United Arab Emirates,Asia,Men+,40,44.389355,-79.690331
Barrie,China,Asia,Men+,50,44.389355,-79.690331
Barrie,"Korea, South",Asia,Men+,20,44.389355,-79.690331
Barrie,Indonesia,Asia,Men+,10,44.389355,-79.690331
Barrie,Philippines,Asia,Men+,125,44.389355,-79.690331
Barrie,India,Asia,Men+,475,44.389355,-79.690331
Barrie,Pakistan,Asia,Men+,105,44.389355,-79.690331
Barrie,Sri Lanka,Asia,Men+,20,44.389355,-79.690331
Barrie,United States of America,North America,Women+,70,44.389355,-79.690331
Barrie,Mexico,North America,Women+,30,44.389355,-79.690331
Barrie,Cuba,North America,Women+,20,44.389355,-79.690331
Barrie,Grenada,North America,Women+,15,44.389355,-79.690331
Barrie,Jamaica,North America,Women+,25,44.389355,-79.690331
Barrie,Saint Lucia,North America,Women+,10,44.389355,-79.690331
Barrie,Brazil,South America,Women+,50,44.389355,-79.690331
Barrie,Colombia,South America,Women+,25,44.389355,-79.690331
Barrie,Venezuela,South America,Women+,10,44.389355,-79.690331
Barrie,France,Europe,Women+,10,44.389355,-79.690331
Barrie,Germany,Europe,Women+,10,44.389355,-79.690331
Barrie,Hungary,Europe,Women+,15,44.389355,-79.690331
Barrie,Moldova,Europe,Women+,10,44.389355,-79.690331
Barrie,Poland,Europe,Women+,10,44.389355,-79.690331
Barrie,Russian Federation,Europe,Women+,80,44.389355,-79.690331
Barrie,Ukraine,Europe,Women+,85,44.389355,-79.690331
Barrie,United Kingdom,Europe,Women+,35,44.389355,-79.690331
Barrie,Bosnia and Herzegovina,Europe,Women+,10,44.389355,-79.690331
Barrie,Portugal,Europe,Women+,15,44.389355,-79.690331
Barrie,Ghana,Africa,Women+,10,44.389355,-79.690331
Barrie,Nigeria,Africa,Women+,105,44.389355,-79.690331
Barrie,Eritrea,Africa,Women+,15,44.389355,-79.690331
Barrie,Mauritius,Africa,Women+,10,44.389355,-79.690331
Barrie,Zimbabwe,Africa,Women+,15,44.389355,-79.690331
Barrie,Egypt,Africa,Women+,10,44.389355,-79.690331
Barrie,Sudan,Africa,Women+,10,44.389355,-79.690331
Barrie,Cameroon,Africa,Women+,10,44.389355,-79.690331
Barrie,"South Africa, Republic of",Africa,Women+,15,44.389355,-79.690331
Barrie,Afghanistan,Asia,Women+,10,44.389355,-79.690331
Barrie,Iran,Asia,Women+,30,44.389355,-79.690331
Barrie,Iraq,Asia,Women+,25,44.389355,-79.690331
Barrie,Israel,Asia,Women+,20,44.389355,-79.690331
Barrie,Lebanon,Asia,Women+,10,44.389355,-79.690331
Barrie,Syria,Asia,Women+,25,44.389355,-79.690331
Barrie,Turkey,Asia,Women+,40,44.389355,-79.690331
Barrie,United Arab Emirates,Asia,Women+,10,44.389355,-79.690331
Barrie,Uzbekistan,Asia,Women+,10,44.389355,-79.690331
Barrie,China,Asia,Women+,90,44.389355,-79.690331
Barrie,"Korea, South",Asia,Women+,40,44.389355,-79.690331
Barrie,Cambodia,Asia,Women+,10,44.389355,-79.690331
Barrie,Indonesia,Asia,Women+,10,44.389355,-79.690331
Barrie,Philippines,Asia,Women+,185,44.389355,-79.690331
Barrie,Viet Nam,Asia,Women+,30,44.389355,-79.690331
Barrie,India,Asia,Women+,420,44.389355,-79.690331
Barrie,Pakistan,Asia,Women+,110,44.389355,-79.690331
Barrie,Sri Lanka,Asia,Women+,10,44.389355,-79.690331
Belleville,United States of America,North America,Men+,40,44.166668,-77.383331
Belleville,Mexico,North America,Men+,25,44.166668,-77.383331
Belleville,Venezuela,South America,Men+,15,44.166668,-77.383331
Belleville,Ireland,Europe,Men+,25,44.166668,-77.383331
Belleville,United Kingdom,Europe,Men+,35,44.166668,-77.383331
Belleville,Lebanon,Asia,Men+,10,44.166668,-77.383331
Belleville,Syria,Asia,Men+,20,44.166668,-77.383331
Belleville,Philippines,Asia,Men+,35,44.166668,-77.383331
Belleville,India,Asia,Men+,175,44.166668,-77.383331
Belleville,United States of America,North America,Women+,55,44.166668,-77.383331
Belleville,Ireland,Europe,Women+,20,44.166668,-77.383331
Belleville,United Kingdom,Europe,Women+,20,44.166668,-77.383331
Belleville,Syria,Asia,Women+,35,44.166668,-77.383331
Belleville,China,Asia,Women+,20,44.166668,-77.383331
Belleville,Philippines,Asia,Women+,95,44.166668,-77.383331
Belleville,India,Asia,Women+,140,44.166668,-77.383331
Belleville,United States of America,North America,Men+,40,44.166668,-77.383331
Belleville,Mexico,North America,Men+,25,44.166668,-77.383331
Belleville,Venezuela,South America,Men+,15,44.166668,-77.383331
Belleville,Ireland,Europe,Men+,25,44.166668,-77.383331
Belleville,United Kingdom,Europe,Men+,35,44.166668,-77.383331
Belleville,Lebanon,Asia,Men+,10,44.166668,-77.383331
Belleville,Philippines,Asia,Men+,30,44.166668,-77.383331
Belleville,India,Asia,Men+,160,44.166668,-77.383331
Belleville,United States of America,North America,Women+,45,44.166668,-77.383331
Belleville,Ireland,Europe,Women+,20,44.166668,-77.383331
Belleville,United Kingdom,Europe,Women+,20,44.166668,-77.383331
Belleville,Syria,Asia,Women+,30,44.166668,-77.383331
Belleville,China,Asia,Women+,20,44.166668,-77.383331
Belleville,Philippines,Asia,Women+,90,44.166668,-77.383331
Belleville,India,Asia,Women+,130,44.166668,-77.383331
Brantford,United States of America,North America,Men+,65,43.166668,-80.25
Brantford,Honduras,North America,Men+,10,43.166668,-80.25
Brantford,Nicaragua,North America,Men+,10,43.166668,-80.25
Brantford,Cuba,North America,Men+,15,43.166668,-80.25
Brantford,Jamaica,North America,Men+,50,43.166668,-80.25
Brantford,Trinidad and Tobago,North America,Men+,15,43.166668,-80.25
Brantford,Brazil,South America,Men+,15,43.166668,-80.25
Brantford,Peru,South America,Men+,15,43.166668,-80.25
Brantford,Venezuela,South America,Men+,20,43.166668,-80.25
Brantford,Germany,Europe,Men+,10,43.166668,-80.25
Brantford,Ireland,Europe,Men+,10,43.166668,-80.25
Brantford,United Kingdom,Europe,Men+,25,43.166668,-80.25
Brantford,Portugal,Europe,Men+,20,43.166668,-80.25
Brantford,Nigeria,Africa,Men+,70,43.166668,-80.25
Brantford,Sudan,Africa,Men+,10,43.166668,-80.25
Brantford,"South Africa, Republic of",Africa,Men+,10,43.166668,-80.25
Brantford,Lebanon,Asia,Men+,15,43.166668,-80.25
Brantford,Saudi Arabia,Asia,Men+,15,43.166668,-80.25
Brantford,Syria,Asia,Men+,50,43.166668,-80.25
Brantford,West Bank and Gaza Strip,Asia,Men+,15,43.166668,-80.25
Brantford,China,Asia,Men+,25,43.166668,-80.25
Brantford,"Korea, South",Asia,Men+,15,43.166668,-80.25
Brantford,Taiwan,Asia,Men+,10,43.166668,-80.25
Brantford,Philippines,Asia,Men+,50,43.166668,-80.25
Brantford,Viet Nam,Asia,Men+,50,43.166668,-80.25
Brantford,India,Asia,Men+,310,43.166668,-80.25
Brantford,Pakistan,Asia,Men+,85,43.166668,-80.25
Brantford,United States of America,North America,Women+,55,43.166668,-80.25
Brantford,Honduras,North America,Women+,15,43.166668,-80.25
Brantford,Jamaica,North America,Women+,50,43.166668,-80.25
Brantford,Trinidad and Tobago,North America,Women+,10,43.166668,-80.25
Brantford,Brazil,South America,Women+,20,43.166668,-80.25
Brantford,Venezuela,South America,Women+,15,43.166668,-80.25
Brantford,United Kingdom,Europe,Women+,10,43.166668,-80.25
Brantford,Nigeria,Africa,Women+,100,43.166668,-80.25
Brantford,Sudan,Africa,Women+,15,43.166668,-80.25
Brantford,Jordan,Asia,Women+,10,43.166668,-80.25
Brantford,Saudi Arabia,Asia,Women+,10,43.166668,-80.25
Brantford,Syria,Asia,Women+,55,43.166668,-80.25
Brantford,United Arab Emirates,Asia,Women+,10,43.166668,-80.25
Brantford,Uzbekistan,Asia,Women+,10,43.166668,-80.25
Brantford,China,Asia,Women+,30,43.166668,-80.25
Brantford,"Korea, South",Asia,Women+,10,43.166668,-80.25
