"REF_DATE","GEO","DGUID","Number of residential properties owned","Immigration status","Other immigration characteristics","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored spouse or partner","Number of property owners","Number","223","units","0","v1340309680","92.1.2.17.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored spouse or partner","Median of total assessment value","Dollars","81","units","0","v1340309685","92.1.2.17.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored spouse or partner","Median family total income","Dollars","81","units","0","v1340309687","92.1.2.17.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored spouse or partner","Median age of property owners","Years","308","units","0","v1340309679","92.1.2.17.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other family sponsorship admission category","Number of property owners","Number","223","units","0","v1340309691","92.1.2.18.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other family sponsorship admission category","Median of total assessment value","Dollars","81","units","0","v1340309696","92.1.2.18.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other family sponsorship admission category","Median family total income","Dollars","81","units","0","v1340309698","92.1.2.18.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other family sponsorship admission category","Median age of property owners","Years","308","units","0","v1340309690","92.1.2.18.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Government-assisted refugee","Number of property owners","Number","223","units","0","v1340309702","92.1.2.19.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Government-assisted refugee","Median of total assessment value","Dollars","81","units","0","v1340309707","92.1.2.19.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Government-assisted refugee","Median family total income","Dollars","81","units","0","v1340309709","92.1.2.19.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Government-assisted refugee","Median age of property owners","Years","308","units","0","v1340309701","92.1.2.19.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Privately sponsored refugee","Number of property owners","Number","223","units","0","v1340309713","92.1.2.20.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Privately sponsored refugee","Median of total assessment value","Dollars","81","units","0","v1340309718","92.1.2.20.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Privately sponsored refugee","Median family total income","Dollars","81","units","0","v1340309720","92.1.2.20.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Privately sponsored refugee","Median age of property owners","Years","308","units","0","v1340309712","92.1.2.20.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Protected refugee in Canada","Number of property owners","Number","223","units","0","v1340309724","92.1.2.21.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Protected refugee in Canada","Median of total assessment value","Dollars","81","units","0","v1340309729","92.1.2.21.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Protected refugee in Canada","Median family total income","Dollars","81","units","0","v1340309731","92.1.2.21.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Protected refugee in Canada","Median age of property owners","Years","308","units","0","v1340309723","92.1.2.21.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other refugee admission category","Number of property owners","Number","223","units","0","v1340309735","92.1.2.22.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other refugee admission category","Median of total assessment value","Dollars","81","units","0","v1340309740","92.1.2.22.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other refugee admission category","Median family total income","Dollars","81","units","0","v1340309742","92.1.2.22.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other refugee admission category","Median age of property owners","Years","308","units","0","v1340309734","92.1.2.22.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other admission category","Number of property owners","Number","223","units","0","v1340309746","92.1.2.23.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other admission category","Median of total assessment value","Dollars","81","units","0","v1340309751","92.1.2.23.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other admission category","Median family total income","Dollars","81","units","0","v1340309753","92.1.2.23.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other admission category","Median age of property owners","Years","308","units","0","v1340309745","92.1.2.23.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Immigrant landed in Canada prior to 1980","Number of property owners","Number","223","units","0","v1340309757","92.1.2.24.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Immigrant landed in Canada prior to 1980","Median of total assessment value","Dollars","81","units","0","v1340309762","92.1.2.24.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Immigrant landed in Canada prior to 1980","Median family total income","Dollars","81","units","0","v1340309764","92.1.2.24.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Immigrant landed in Canada prior to 1980","Median age of property owners","Years","308","units","0","v1340309756","92.1.2.24.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified admission category","Number of property owners","Number","223","units","0","v1340309559","92.1.2.25.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified admission category","Median of total assessment value","Dollars","81","units","0","v1340309564","92.1.2.25.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified admission category","Median family total income","Dollars","81","units","0","v1340309566","92.1.2.25.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified admission category","Median age of property owners","Years","308","units","0","v1340309558","92.1.2.25.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","America","Number of property owners","Number","223","units","0","v1340309790","92.1.2.28.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","America","Median of total assessment value","Dollars","81","units","0","v1340309795","92.1.2.28.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","America","Median family total income","Dollars","81","units","0","v1340309797","92.1.2.28.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","America","Median age of property owners","Years","308","units","0","v1340309789","92.1.2.28.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Europe","Number of property owners","Number","223","units","0","v1340309801","92.1.2.29.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Europe","Median of total assessment value","Dollars","81","units","0","v1340309806","92.1.2.29.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Europe","Median family total income","Dollars","81","units","0","v1340309808","92.1.2.29.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Europe","Median age of property owners","Years","308","units","0","v1340309800","92.1.2.29.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Africa","Number of property owners","Number","223","units","0","v1340309812","92.1.2.30.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Africa","Median of total assessment value","Dollars","81","units","0","v1340309817","92.1.2.30.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Africa","Median family total income","Dollars","81","units","0","v1340309819","92.1.2.30.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Africa","Median age of property owners","Years","308","units","0","v1340309811","92.1.2.30.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Asia","Number of property owners","Number","223","units","0","v1340309823","92.1.2.31.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Asia","Median of total assessment value","Dollars","81","units","0","v1340309828","92.1.2.31.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Asia","Median family total income","Dollars","81","units","0","v1340309830","92.1.2.31.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Asia","Median age of property owners","Years","308","units","0","v1340309822","92.1.2.31.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Oceania","Number of property owners","Number","223","units","0","v1340309834","92.1.2.32.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Oceania","Median of total assessment value","Dollars","81","units","0","v1340309839","92.1.2.32.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Oceania","Median family total income","Dollars","81","units","0","v1340309841","92.1.2.32.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Oceania","Median age of property owners","Years","308","units","0","v1340309833","92.1.2.32.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other places of birth","Number of property owners","Number","223","units","0","v1340309845","92.1.2.33.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other places of birth","Median of total assessment value","Dollars","81","units","0","v1340309850","92.1.2.33.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other places of birth","Median family total income","Dollars","81","units","0","v1340309852","92.1.2.33.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other places of birth","Median age of property owners","Years","308","units","0","v1340309844","92.1.2.33.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified place of birth","Number of property owners","Number","223","units","0","v1340309779","92.1.2.34.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified place of birth","Median of total assessment value","Dollars","81","units","0","v1340309784","92.1.2.34.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified place of birth","Median family total income","Dollars","81","units","0","v1340309786","92.1.2.34.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Unspecified place of birth","Median age of property owners","Years","308","units","0","v1340309778","92.1.2.34.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Total, all periods of immigration","Number of property owners","Number","223","units","0","v1340310373","92.2.2.1.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Total, all periods of immigration","Median of total assessment value","Dollars","81","units","0","v1340310378","92.2.2.1.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Total, all periods of immigration","Median family total income","Dollars","81","units","0","v1340310380","92.2.2.1.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Total, all periods of immigration","Median age of property owners","Years","308","units","0","v1340310372","92.2.2.1.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal entrepreneur","Number of property owners","Number","223","units","0","v1340310439","92.2.2.7.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal entrepreneur","Median of total assessment value","Dollars","81","units","0","v1340310444","92.2.2.7.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal entrepreneur","Median family total income","Dollars","81","units","0","v1340310446","92.2.2.7.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal entrepreneur","Median age of property owners","Years","308","units","0","v1340310438","92.2.2.7.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal investor","Number of property owners","Number","223","units","0","v1340310450","92.2.2.8.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal investor","Median of total assessment value","Dollars","81","units","0","v1340310455","92.2.2.8.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal investor","Median family total income","Dollars","81","units","0","v1340310457","92.2.2.8.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal investor","Median age of property owners","Years","308","units","0","v1340310449","92.2.2.8.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal skilled worker","Number of property owners","Number","223","units","0","v1340310461","92.2.2.9.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal skilled worker","Median of total assessment value","Dollars","81","units","0","v1340310466","92.2.2.9.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal skilled worker","Median family total income","Dollars","81","units","0","v1340310468","92.2.2.9.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Federal skilled worker","Median age of property owners","Years","308","units","0","v1340310460","92.2.2.9.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Caregiver","Number of property owners","Number","223","units","0","v1340310472","92.2.2.10.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Caregiver","Median of total assessment value","Dollars","81","units","0","v1340310477","92.2.2.10.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Caregiver","Median family total income","Dollars","81","units","0","v1340310479","92.2.2.10.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Caregiver","Median age of property owners","Years","308","units","0","v1340310471","92.2.2.10.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Provincial and territorial nominee","Number of property owners","Number","223","units","0","v1340310483","92.2.2.11.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Provincial and territorial nominee","Median of total assessment value","Dollars","81","units","0","v1340310488","92.2.2.11.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Provincial and territorial nominee","Median family total income","Dollars","81","units","0","v1340310490","92.2.2.11.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Provincial and territorial nominee","Median age of property owners","Years","308","units","0","v1340310482","92.2.2.11.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec investor","Number of property owners","Number","223","units","0","v1340310494","92.2.2.12.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec investor","Median of total assessment value","Dollars","81","units","0","v1340310499","92.2.2.12.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec investor","Median family total income","Dollars","81","units","0","v1340310501","92.2.2.12.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec investor","Median age of property owners","Years","308","units","0","v1340310493","92.2.2.12.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec skilled worker","Number of property owners","Number","223","units","0","v1340310505","92.2.2.13.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec skilled worker","Median of total assessment value","Dollars","81","units","0","v1340310510","92.2.2.13.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec skilled worker","Median family total income","Dollars","81","units","0","v1340310512","92.2.2.13.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Quebec skilled worker","Median age of property owners","Years","308","units","0","v1340310504","92.2.2.13.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Other economic admission category","Number of property owners","Number","223","units","0","v1340310516","92.2.2.14.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Other economic admission category","Median of total assessment value","Dollars","81","units","0","v1340310521","92.2.2.14.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Other economic admission category","Median family total income","Dollars","81","units","0","v1340310523","92.2.2.14.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Other economic admission category","Median age of property owners","Years","308","units","0","v1340310515","92.2.2.14.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored child","Number of property owners","Number","223","units","0","v1340310527","92.2.2.15.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored child","Median of total assessment value","Dollars","81","units","0","v1340310532","92.2.2.15.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored child","Median family total income","Dollars","81","units","0","v1340310534","92.2.2.15.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored child","Median age of property owners","Years","308","units","0","v1340310526","92.2.2.15.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored parent or grandparent","Number of property owners","Number","223","units","0","v1340310538","92.2.2.16.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored parent or grandparent","Median of total assessment value","Dollars","81","units","0","v1340310543","92.2.2.16.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored parent or grandparent","Median family total income","Dollars","81","units","0","v1340310545","92.2.2.16.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored parent or grandparent","Median age of property owners","Years","308","units","0","v1340310537","92.2.2.16.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Single-property owner","Immigrant","Sponsored spouse or partner","Number of property owners","Number","223","units","0","v1340310549","92.2.2.17.11","","..","","","0"
